,rdma1,rdma2,rdma3,rdma4,rdma5,tcp1,tcp2,tcp3,tcp4,tcp5
0,465,251,295,527,483,631,342,361,229,234
1,476,258,278,540,454,650,286,346,196,187
2,520,253,288,539,453,647,268,331,188,179
3,520,361,287,547,460,648,269,331,168,178
4,520,359,294,546,462,658,269,332,169,177
5,519,358,292,547,464,659,270,333,169,194
6,520,369,318,549,466,660,271,334,170,193
7,519,368,317,551,475,660,260,334,190,193
8,519,367,327,551,477,661,273,335,191,192
9,519,370,325,561,467,662,274,324,192,192
10,519,369,331,563,467,662,274,325,192,191
11,519,371,330,563,487,663,275,326,194,191
12,519,369,329,564,486,664,275,326,219,176
13,519,368,330,570,516,673,276,327,210,175
14,519,368,343,571,517,674,277,328,210,175
15,519,367,343,570,517,674,277,329,212,183
16,519,378,343,570,517,675,278,352,248,182
17,519,375,353,570,516,676,278,353,249,182
18,518,373,352,569,515,677,279,353,250,181
19,518,373,387,569,516,677,280,354,251,181
20,518,372,404,569,515,678,280,355,252,181
21,518,371,404,569,515,685,281,356,252,180
22,519,371,412,570,517,686,282,356,253,172
23,518,369,412,569,515,686,290,357,254,172
24,518,368,708,569,515,687,291,358,254,190
25,519,368,705,570,515,688,292,358,255,190
26,518,367,689,569,515,689,293,360,256,189
27,518,366,689,569,527,689,293,384,256,189
28,519,354,690,569,527,690,294,385,257,188
29,518,353,689,569,527,691,295,385,258,188
30,519,354,689,569,527,692,295,386,259,188
31,518,353,689,569,526,692,296,387,274,187
32,518,353,690,569,526,693,297,388,275,187
33,516,351,688,567,524,693,297,388,276,180
34,515,349,688,565,522,694,298,388,276,182
35,515,349,688,565,522,695,313,389,277,182
36,515,350,689,566,523,695,314,390,271,181
37,515,349,689,565,522,696,315,391,272,181
38,515,350,691,566,522,697,316,392,273,181
39,515,349,691,565,522,698,316,425,273,180
40,515,349,691,565,522,698,317,426,274,180
41,515,350,692,565,522,699,318,427,275,199
42,515,349,693,565,521,700,319,428,276,199
43,515,338,694,565,521,701,328,428,276,199
44,516,339,684,566,522,701,329,429,277,198
45,514,338,684,564,520,702,329,430,285,198
46,515,337,684,564,520,703,330,431,286,198
47,515,338,685,565,521,704,331,431,287,202
48,515,337,688,564,520,704,332,432,288,203
49,905,399,777,1150,814,705,334,433,288,204
50,910,399,769,1156,818,706,356,460,289,204
51,913,399,768,1161,822,707,357,461,290,200
52,925,400,772,1164,826,707,358,461,291,228
53,928,400,775,1167,830,708,358,462,292,228
54,932,400,777,1171,833,709,359,463,292,229
55,946,400,781,1175,837,710,400,464,293,230
56,954,401,784,1177,844,710,401,464,294,231
57,959,404,788,1181,848,711,402,465,295,231
58,961,406,792,1184,854,712,403,466,296,232
59,964,408,796,1187,857,713,404,467,312,238
60,968,411,800,1192,864,713,405,484,312,239
61,970,414,803,1195,868,714,420,485,313,239
62,973,417,807,1201,871,715,421,486,314,240
63,977,424,820,1206,874,716,422,487,315,241
64,979,427,823,1208,877,716,423,487,316,242
65,980,408,830,1209,877,717,423,488,344,243
66,984,409,831,1213,881,718,399,489,345,244
67,986,409,831,1217,885,719,399,489,345,260
68,990,409,844,1223,890,719,400,491,331,261
69,992,409,841,1227,893,720,401,519,332,257
70,995,409,842,1238,895,721,401,520,333,257
71,999,409,842,1247,898,722,402,521,334,258
72,1003,409,842,1250,901,722,403,522,352,259
73,1006,409,843,1253,904,723,404,523,353,260
74,1009,409,857,1256,907,724,437,523,354,290
75,1012,409,857,1258,910,724,438,524,355,291
76,1015,409,858,1262,913,725,439,525,355,291
77,1017,409,848,1269,915,726,440,526,356,292
78,1020,409,845,1274,918,727,440,538,357,293
79,1026,409,845,1286,921,727,441,539,358,294
80,1030,409,845,1291,924,728,442,539,374,295
81,1034,411,846,1294,928,729,442,540,375,295
82,1040,414,846,1298,931,730,443,541,375,296
83,1044,417,848,1301,934,730,444,542,376,297
84,1047,423,855,1304,936,731,445,542,377,311
85,1050,427,856,1307,939,732,471,543,378,311
86,1053,440,856,1310,941,733,471,544,397,312
87,1058,444,861,1315,945,733,472,545,398,313
88,1061,448,870,1318,947,734,473,561,399,314
