,rdma1,rdma2,rdma3,tcp1,tcp2,tcp3
0,145,170,131,329,314,251
1,40,42,15,276,298,227
2,38,36,41,237,292,300
3,39,36,37,284,289,183
4,43,40,43,271,314,194
5,35,35,37,301,286,264
6,43,36,37,287,279,278
7,36,36,52,220,128,229
8,38,39,40,161,122,247
9,35,35,36,279,201,202
10,35,12,35,300,305,188
11,35,35,36,218,232,177
12,34,35,35,294,318,279
13,53,34,36,286,230,171
14,36,36,14,263,256,249
15,36,34,37,256,195,244
16,38,40,38,299,340,293
17,36,34,37,286,302,193
18,34,33,35,260,284,151
19,34,35,35,274,344,240
20,36,33,35,291,190,232
21,36,34,39,265,177,304
22,35,40,37,192,260,262
23,33,34,34,229,258,290
24,34,32,35,310,272,204
25,35,35,36,179,221,300
26,32,34,34,276,288,174
27,34,35,34,207,331,290
28,34,35,65,215,266,233
29,34,33,36,229,315,293
30,34,35,36,304,206,211
31,33,34,35,277,301,232
32,40,41,42,278,305,236
33,32,34,36,257,266,322
34,34,33,34,148,243,235
35,33,34,34,261,321,206
36,34,52,33,233,229,258
37,33,34,35,272,302,243
38,33,32,36,280,280,311
39,33,31,34,151,234,337
40,31,34,35,200,269,274
41,34,34,35,326,344,246
42,33,33,33,221,234,284
43,34,51,33,123,178,253
44,35,44,37,203,331,257
45,33,32,35,207,320,202
46,34,33,35,232,210,227
47,31,34,35,169,279,289
48,33,33,37,216,309,245
49,35,34,34,303,256,285
50,33,28,33,303,238,323
51,33,33,34,175,299,185
52,33,32,34,255,218,306
53,32,31,33,215,128,254
54,31,32,34,306,148,296
55,32,33,34,285,334,304
56,32,32,32,258,332,175
57,34,22,9,287,205,263
58,32,32,35,300,312,299
59,33,32,34,197,269,273
60,33,33,35,132,263,207
61,31,32,35,267,341,340
62,31,34,36,247,177,242
63,47,33,33,308,202,295
64,44,19,38,320,170,189
65,32,34,33,211,293,237
66,33,34,34,196,334,232
67,32,33,33,184,161,309
68,32,35,33,267,321,270
69,30,34,41,209,245,250
70,32,34,32,186,305,307
71,33,12,33,126,176,313
72,32,34,32,206,257,221
73,33,34,32,198,286,306
74,33,33,34,217,245,180
75,31,33,33,287,313,196
76,32,34,33,261,308,284
77,32,33,31,311,276,124
