,rdma1,rdma2,rdma3,tcp1,tcp2,tcp3
0,147,124,176,308,463,443
1,40,48,47,206,411,314
2,48,49,42,200,383,317
3,40,39,36,243,387,302
4,28,52,45,247,386,336
5,42,40,37,215,469,269
6,33,38,36,239,495,255
7,52,39,36,209,578,232
8,27,52,67,194,580,243
9,17,43,41,168,603,218
10,12,40,38,176,600,270
11,13,37,36,223,690,278
12,39,41,40,223,659,283
13,34,37,38,264,609,267
14,34,36,21,242,661,334
15,12,55,38,1495,1582,1563
16,57,61,60,956,1077,972
17,11,34,36,863,873,868
18,16,36,36,854,834,872
19,45,41,41,1493,1489,1395
20,44,36,36,922,994,839
21,36,38,14,814,901,807
22,41,22,38,814,924,820
23,42,37,34,1523,1539,1571
24,35,36,35,1033,995,1121
25,45,41,39,872,891,973
26,34,37,35,850,934,981
27,33,38,35,1503,1590,1608
28,36,41,18,934,1134,1143
29,39,43,44,951,999,993
30,45,37,12,912,1009,1037
31,38,34,35,1538,1536,1543
32,75,73,75,969,999,1020
33,12,35,36,849,960,999
34,25,39,32,860,928,1030
35,39,36,36,1475,1587,1631
36,39,14,35,898,1069,1165
37,38,41,41,880,948,1177
38,23,36,36,850,871,1095
39,32,36,36,1477,1498,1638
40,41,41,42,922,986,1133
41,42,36,35,922,883,1125
42,53,36,35,944,886,1169
43,38,42,37,1544,1525,1788
44,62,36,35,955,957,1353
45,21,38,40,981,835,1081
46,34,35,35,994,936,1051
47,37,37,34,1578,1481,1694
48,39,39,38,1088,985,1145
49,42,35,38,1081,954,1118
50,34,35,33,1094,926,1098
51,45,45,36,1626,1499,1668
52,13,34,36,1109,942,1156
53,41,34,34,1057,965,1138
54,36,42,38,1133,971,1178
55,38,36,34,1779,1544,1820
56,34,35,34,1320,994,1363
57,61,43,41,1147,919,1289
58,32,12,33,1178,953,1204
59,13,36,36,1635,1575,1805
60,55,40,39,1115,1020,1332
61,32,36,35,1048,946,1262
62,35,36,17,1037,947,1247
63,33,36,35,1672,1480,1756
64,134,126,121,1126,971,1264
65,43,35,37,937,841,952
66,40,34,35,895,924,1041
67,37,39,38,1536,1546,1652
68,14,34,34,1016,1028,1075
69,34,35,36,977,959,1050
70,37,20,37,1026,888,1125
71,46,35,34,1574,1453,1635
72,38,33,34,1072,923,1090
73,41,39,37,1042,874,1150
74,36,36,34,1052,864,1164
75,39,35,33,1646,1533,1750
76,44,40,38,1081,1079,1256
77,37,35,33,1040,831,1132
78,35,38,38,975,882,1166
79,37,41,34,1549,1556,1869
80,34,34,35,1028,1068,1339
81,39,38,37,1066,915,1263
82,54,34,33,1028,907,1247
83,33,34,34,1598,1505,1811
84,37,17,37,1041,996,1343
85,58,34,35,1050,969,1191
86,43,34,35,1092,941,1268
87,37,39,37,1648,1529,1863
88,49,35,36,1121,1020,1390
89,32,36,33,1074,957,1245
90,35,39,38,1117,938,1177
91,32,13,31,1674,1573,1909
92,37,36,34,1168,1148,1464
93,40,37,37,1196,1106,1222
94,37,35,33,1158,1099,1209
95,36,38,34,1809,1668,1895
96,35,38,37,1320,1209,1358
97,32,35,39,1111,1016,1289
98,48,35,34,1193,1124,1284
99,36,38,37,1871,1747,1969
100,17,33,34,1337,1245,1405
101,34,35,32,1378,1093,1326
102,35,39,37,1413,1115,1341
103,43,35,17,1962,1732,1991
104,33,35,34,1394,1307,1412
105,42,39,37,1307,1136,1386
106,33,34,33,1397,1143,1434
107,16,33,33,2012,1769,2067
108,40,40,40,1456,1246,1575
109,37,36,33,1394,1156,1460
110,33,34,16,1355,1148,1466
111,39,39,37,2049,1778,2030
112,32,39,34,1501,1294,1527
113,67,33,34,1501,1165,1481
114,17,38,45,1474,1181,1422
115,42,33,33,2164,1727,1990
116,32,33,33,1643,1282,1416
117,36,37,17,1505,1132,1374
118,37,34,33,1397,1160,1391
119,36,37,37,2105,1826,2034
120,38,33,34,1528,1252,1503
121,12,33,34,1427,1228,1399
122,42,37,37,1475,1160,1401
123,52,35,34,2062,1786,2009
124,36,33,13,1494,1344,1511
125,65,37,38,1468,1130,1400
126,47,33,33,1433,1189,1405
127,31,32,33,2111,1742,2079
128,168,152,147,1697,1184,1530
129,51,33,33,1174,864,1221
130,9,33,33,1175,938,1219
131,66,37,37,1835,1567,1830
132,32,16,31,1296,1021,1269
133,36,34,32,1247,956,1188
134,35,35,35,1304,959,1204
135,36,49,32,1888,1490,1902
136,37,33,33,1380,920,1363
137,39,37,37,1276,926,1378
138,37,35,32,1230,948,1414
139,36,33,31,1903,1470,1997
140,34,36,34,1407,909,1406
141,37,31,32,1333,864,1342
142,31,33,33,1325,892,1249
143,35,35,36,1874,1539,1982
144,32,33,32,1345,1066,1465
145,32,33,32,1286,1018,1420
146,35,16,35,1315,989,1405
147,32,34,31,1966,1538,1934
148,39,32,33,1459,971,1373
149,40,37,35,1325,987,1392
150,36,34,32,1317,1012,1418
151,31,33,33,1888,1603,2031
152,53,36,36,1368,1064,1478
153,31,33,32,1239,987,1417
154,35,33,33,1233,944,1471
155,50,35,37,1827,1579,2075
156,31,32,32,1319,1083,1499
157,41,37,36,1228,1014,1487
158,10,34,15,1322,1091,1445
159,10,33,33,1952,1628,2076
160,13,37,37,1408,1086,1530
161,10,33,33,1320,948,1398
162,11,33,33,1263,1013,1393
163,39,36,37,1880,1668,2073
164,35,35,33,1310,1213,1659
165,36,43,16,1316,1125,1496
166,14,37,34,1352,1145,1493
167,10,33,33,2006,1690,2059
168,16,34,33,1462,1155,1569
169,47,35,36,1419,1147,1390
170,31,32,33,1433,1180,1433
171,48,34,33,2077,1705,2032
172,43,38,17,1550,1166,1477
173,32,33,31,1424,1114,1413
174,32,33,33,1488,1035,1430
175,54,37,36,2034,1674,2085
176,12,33,33,1469,1288,1590
177,46,33,33,1479,1124,1473
178,38,36,35,1453,1135,1435
179,37,33,33,2150,1679,2156
180,39,33,32,1618,1098,1649
181,35,37,37,1495,1047,1504
182,61,32,33,1534,1101,1487
183,38,34,33,2141,1708,2120
184,43,35,36,1565,1224,1615
185,40,32,33,1613,1168,1438
186,46,34,32,1547,1181,1475
187,41,36,35,2103,1727,2050
188,31,33,33,1542,1191,1474
189,38,33,33,1476,1194,1489
190,19,37,37,1541,1229,1529
191,32,32,33,2169,1884,2174
192,31,32,32,1754,1347,1745
193,47,35,36,1685,1186,1599
194,32,32,31,1575,1200,1452
195,37,33,32,2252,1784,2142
196,37,37,36,1782,1313,1718
197,52,33,32,1674,1226,1507
198,64,37,36,1622,1261,1554
199,34,32,33,2277,1753,2144
200,29,32,32,1700,1232,1722
201,71,51,34,1586,1182,1542
202,31,33,30,1545,1184,1465
203,32,31,32,2292,1769,2235
204,64,36,36,1795,1249,1746
205,32,34,33,1708,1193,1628
206,45,33,33,1773,1164,1539
207,46,35,40,2409,1743,2208
208,44,16,33,1873,1229,1674
209,36,34,33,1772,1241,1628
210,40,34,38,1812,1267,1540
211,38,33,32,2463,1911,2192
212,11,32,32,2029,1435,1632
213,40,35,20,1831,1153,1529
214,43,33,33,1734,1225,1403
215,38,16,32,2420,1922,2080
216,41,38,38,1874,1410,1559
217,47,31,33,1854,1267,1517
218,46,33,31,1860,1264,1509
219,14,36,40,2533,1859,2017
220,9,33,15,2082,1410,1508
221,30,32,32,1898,1260,1460
222,38,16,37,1909,1284,1426
223,32,32,32,2553,1949,2165
224,31,31,33,2047,1495,1632
225,44,36,36,2011,1340,1549
226,35,32,33,1988,1236,1455
227,40,32,12,2535,1911,2112
228,41,35,34,2019,1463,1642
229,35,12,33,1912,1274,1471
230,30,32,33,1892,1285,1504
231,38,34,36,2549,1815,2192
232,32,32,32,2112,1284,1606
233,35,33,32,1881,1154,1520
234,35,37,16,1852,1225,1484
235,38,32,39,2480,1875,2159
236,52,35,37,1904,1363,1682
237,31,32,33,1847,1280,1536
238,32,32,32,1936,1287,1501
239,39,45,36,2529,1902,2156
240,30,33,33,2064,1332,1725
241,31,33,31,1848,1360,1537
242,40,35,35,1873,1349,1510
243,30,32,32,2488,1991,2181
244,35,33,33,2072,1433,1614
245,57,34,36,1996,1338,1585
246,37,31,34,1983,1329,1419
247,36,32,32,2645,1923,2077
248,45,36,36,2126,1405,1490
249,31,32,31,2018,1285,1480
250,32,33,32,2005,1311,1520
251,71,36,47,2675,1856,2047
252,15,31,31,2197,1356,1473
253,53,31,35,2033,1290,1420
254,38,36,35,1978,1320,1426
255,31,32,33,2675,1928,2145
256,247,245,263,2250,1365,1727
257,56,46,33,1776,833,1169
258,31,31,31,1797,837,1119
259,41,31,32,2408,1418,1666
260,35,36,35,1881,967,1124
261,35,31,12,1808,914,1090
262,38,32,30,1828,902,1207
263,43,18,37,2502,1505,1804
264,32,32,33,2027,973,1377
265,55,30,32,1884,946,1099
266,39,37,36,1860,951,1104
267,31,32,31,2524,1526,1799
268,37,32,12,2019,959,1337
269,33,36,33,1927,930,1189
270,37,15,32,1948,908,1226
271,38,32,32,2562,1490,1786
272,39,34,35,2040,924,1342
273,38,32,32,1892,898,1201
274,39,31,32,1929,945,1243
275,37,35,35,2555,1490,1846
276,29,32,30,2035,910,1384
277,40,19,35,2050,869,1254
278,37,33,31,2067,915,1231
279,31,31,31,2745,1542,1838
280,35,35,36,2232,1087,1386
281,50,31,32,2068,892,1134
282,33,31,32,2067,942,1186
283,39,36,35,2838,1558,1801
284,35,12,32,2348,1032,1251
285,35,33,32,2085,916,1060
286,37,34,35,2107,928,1125
287,37,33,31,2765,1555,1734
288,30,32,31,2270,1077,1228
289,34,35,35,2102,897,1156
290,51,33,30,2148,862,1196
291,31,11,30,2848,1523,1729
292,36,36,35,2429,1021,1237
293,35,32,31,2132,877,1176
294,43,32,43,2137,916,1214
295,44,37,35,2808,1565,1769
296,53,32,31,2317,993,1233
297,30,33,30,2145,998,1176
298,40,39,35,2081,1010,1159
299,30,32,31,2739,1640,1692
300,54,30,31,2219,1168,1183
301,39,34,34,2062,957,1203
302,35,33,31,2076,1009,1189
303,31,32,32,2732,1557,1743
304,41,36,35,2252,999,1210
305,36,32,32,2204,1002,1135
306,31,33,33,2199,998,1271
307,18,35,35,2844,1580,1891
308,40,31,32,2332,1034,1342
309,31,32,31,2205,1000,1317
310,42,35,36,2187,925,1305
311,40,32,32,2768,1593,1813
312,42,32,31,2266,1196,1310
313,41,39,36,2188,1087,1243
314,16,32,31,2188,1101,1232
315,41,35,35,2829,1601,1876
316,38,32,16,2332,1058,1412
317,48,32,33,2179,1041,1158
318,40,35,35,2220,1067,1231
319,32,32,31,2925,1684,1897
320,61,31,32,2494,1214,1334
321,16,36,35,2206,1089,1291
322,47,31,31,2240,1016,1209
323,42,31,15,2792,1614,1761
324,57,34,33,2280,1098,1340
325,39,31,31,2162,1041,1142
326,36,31,32,2200,1121,1197
327,47,34,35,2914,1730,1768
328,12,31,31,2445,1204,1253
329,33,31,31,2367,1130,1186
330,37,35,15,2277,1136,1239
331,43,30,30,2920,1710,1856
332,33,31,32,2416,1161,1429
333,47,35,35,2319,1166,1223
334,31,31,31,2318,1168,1264
335,37,31,31,3004,1685,1821
336,36,35,34,2475,1175,1297
337,37,31,33,2289,1160,1187
338,32,31,30,2228,1184,1200
339,44,50,35,2984,1774,1876
340,31,31,32,2464,1245,1448
341,36,30,31,2366,1185,1245
342,43,37,37,2404,1113,1251
343,34,31,31,3020,1671,1727
344,9,31,40,2526,1169,1210
345,39,34,33,2369,1193,1216
346,52,15,32,2350,1181,1242
347,33,32,32,2993,1787,1890
348,35,34,35,2536,1310,1463
349,39,31,32,2368,1188,1254
350,35,31,31,2375,1200,1179
351,35,35,35,3052,1850,1830
352,54,32,29,2597,1278,1437
353,31,15,30,2392,1258,1274
354,38,36,35,2474,1229,1251
355,36,30,30,3115,1783,1795
356,40,35,34,2715,1206,1326
357,29,32,31,2543,1190,1090
358,30,32,31,2471,1181,1136
359,43,35,32,3115,1751,1786
360,37,12,29,2597,1188,1257
361,35,32,31,2565,1167,1205
362,34,34,35,2572,1152,1204
363,33,31,30,3200,1785,1693
364,30,32,31,2660,1375,1149
365,58,35,35,2598,1210,1089
366,37,32,29,2562,1229,1087
367,37,12,30,3218,1732,1725
368,40,35,34,2701,1211,1175
369,15,30,31,2570,1149,1027
370,37,32,31,2562,1216,1142
371,38,35,34,3289,1856,1746
372,38,32,32,2721,1464,1196
373,42,31,30,2642,1285,1171
374,41,40,33,2633,1206,1161
375,31,31,32,3223,1832,1675
376,16,30,32,2671,1395,1131
377,34,33,35,2673,1246,1100
378,42,31,31,2657,1267,1147
379,31,31,31,3241,1787,1695
380,40,36,35,2756,1199,1176
381,42,32,32,2628,1139,1076
382,36,31,31,2635,1144,1017
383,27,33,34,3303,1795,1732
384,36,30,31,2781,1239,1212
385,55,34,28,2729,1133,1038
386,42,38,37,2722,1157,1027
387,33,34,32,3259,1649,1682
388,31,33,31,2719,1114,1173
389,41,36,35,2725,1075,980
390,32,30,31,2721,1094,1072
391,38,31,30,3389,1728,1639
392,35,36,19,2830,1284,1178
393,32,33,33,2714,1145,1064
394,35,36,37,2765,1087,1063
395,39,33,32,3295,1707,1686
396,31,33,31,2736,1256,1241
397,43,37,35,2769,1158,1128
398,32,32,31,2732,1153,1123
399,29,32,15,3372,1719,1773
400,32,35,34,2795,1241,1354
401,37,31,31,2696,1053,1170
402,30,36,31,2690,1094,1103
403,39,35,36,3279,1704,1697
404,32,32,31,2762,1224,1168
405,32,32,36,2652,1080,1152
406,51,36,17,2619,1056,1176
407,32,32,30,3238,1641,1708
408,52,32,33,2690,1213,1140
409,35,35,36,2590,1023,1108
410,37,31,32,2686,1049,1136
411,39,32,32,3325,1554,1651
412,39,35,34,2810,974,1128
413,31,31,20,2744,922,1058
414,34,31,31,2639,906,1120
415,39,35,36,3321,1547,1659
416,32,31,32,2740,1045,1125
417,46,32,31,2652,960,1069
418,35,35,34,2688,941,1112
419,29,32,31,3351,1517,1767
420,31,31,47,2843,941,1219
421,46,35,33,2779,890,1089
422,36,46,31,2758,887,1147
423,37,32,31,3316,1547,1722
424,30,34,34,2737,1045,1186
425,47,31,31,2688,888,1109
426,29,31,31,2746,869,1104
427,38,35,35,3385,1542,1657
428,32,31,30,2803,1108,1101
429,42,15,30,2714,937,1108
430,40,38,37,2781,914,1155
431,15,31,34,3374,1537,1779
432,44,32,35,2840,1013,1261
433,62,33,30,2756,909,1143
434,36,32,31,2819,939,1118
435,35,35,32,3398,1555,1743
436,48,15,30,2821,1061,1343
437,31,32,31,2767,1048,1150
438,15,34,34,2846,1030,1159
439,38,32,32,3426,1538,1781
440,34,32,31,2842,1065,1315
441,57,35,35,2800,1021,1064
442,38,33,29,2836,1039,1126
443,31,15,29,3460,1584,1796
444,35,35,35,2981,1011,1345
445,61,30,31,2878,916,1100
446,37,32,30,2900,921,1155
447,39,35,35,3509,1521,1692
448,44,32,31,2942,1042,1171
449,40,31,30,2873,1011,1131
450,34,15,33,2940,1014,1186
451,31,31,32,3557,1555,1821
452,32,30,31,3026,1031,1298
453,35,40,35,2930,974,1154
454,32,32,31,2831,970,1088
455,30,32,39,3498,1605,1740
456,36,35,33,2975,1078,1231
457,32,11,30,2955,980,1248
458,32,32,31,2898,989,1243
459,35,34,14,3571,1591,1740
460,10,32,10,3125,1166,1193
461,8,32,31,2996,1024,1160
462,34,35,55,2970,1061,1201
463,31,31,32,3646,1686,1785
464,31,37,32,3100,1163,1358
465,35,35,35,3130,1030,1172
466,31,30,31,3089,1040,1155
467,31,30,32,3761,1669,1687
468,39,37,43,3220,1205,1169
469,30,32,32,3163,1068,1211
470,31,32,32,3132,1079,1228
471,37,35,34,3669,1596,1886
472,31,31,31,3216,1160,1440
473,54,36,36,3095,926,1115
474,36,31,31,3114,995,1147
475,30,32,15,3708,1559,1684
476,35,36,34,3127,1063,1138
477,36,32,32,3115,973,1168
478,58,32,32,3124,905,1182
479,54,35,36,3742,1518,1750
480,38,30,31,3217,1028,1277
481,33,30,32,3219,921,1093
482,34,36,41,3232,949,1153
483,35,32,30,3837,1543,1797
484,31,32,31,3321,978,1328
485,50,36,34,3229,917,1137
486,15,32,31,3217,972,1090
487,35,34,31,3860,1569,1716
488,35,36,34,3358,1156,1255
489,38,33,11,3383,979,1163
490,32,31,30,3378,968,1160
491,41,35,35,3966,1517,1784
492,40,32,32,3453,1021,1262
493,37,32,32,3385,959,1056
494,40,34,35,3418,987,1096
495,29,31,31,3951,1527,1702
496,35,31,14,3384,966,1222
497,34,35,33,3389,916,1158
498,35,32,32,3327,918,1144
499,30,32,32,3917,1588,1664
500,17,36,16,3339,1027,1125
501,32,31,11,3345,940,1059
502,37,31,31,3371,902,1080
503,35,35,66,3990,1561,1728
504,32,32,30,3419,1077,1283
505,37,31,33,3431,839,1102
506,35,35,36,3467,866,1030
507,13,31,32,4113,1522,1597
508,32,32,34,3675,959,1125
509,41,35,35,3473,944,1094
510,38,31,33,3518,878,1126
511,44,35,35,4047,1573,1701
512,451,434,432,3604,1155,1139
513,17,31,32,3027,566,725
514,41,35,37,3072,441,617
515,31,32,32,3690,1581,1495
516,39,32,13,3252,1065,990
517,35,35,35,3079,969,842
518,35,31,31,3143,1018,809
519,31,31,31,3736,1602,1531
520,15,34,35,3239,1100,1015
521,51,31,31,3165,1011,951
522,30,32,32,3168,944,946
523,51,34,36,3766,1540,1593
524,36,31,30,3323,1153,1084
525,44,31,31,3151,1009,897
526,40,34,35,3187,973,916
527,12,30,32,3774,1592,1564
528,37,31,31,3191,1096,999
529,38,34,35,3164,942,930
530,31,32,32,3152,904,893
531,36,31,31,3794,1494,1544
532,35,49,36,3244,940,1044
533,37,33,33,3140,871,948
534,29,29,32,3149,911,958
535,36,35,35,3788,1493,1570
536,36,31,32,3204,996,1056
537,36,31,31,3199,911,964
538,34,36,33,3126,977,923
539,31,15,29,3831,1543,1582
540,36,40,32,3286,1005,1037
541,47,34,35,3247,941,933
542,36,32,32,3211,894,901
543,38,31,31,3829,1560,1427
544,39,35,35,3325,1101,857
545,37,32,29,3214,958,875
546,40,15,30,3181,944,860
547,50,35,38,3825,1517,1585
548,44,30,32,3371,985,1119
549,36,34,38,3190,958,994
550,35,35,34,3173,1005,895
551,31,31,31,3744,1592,1475
552,40,36,33,3182,1119,973
553,31,11,30,3135,961,895
554,40,32,31,3118,991,910
555,41,35,36,3670,1522,1576
556,10,32,31,3183,1063,1028
557,34,32,31,3147,1009,892
558,40,35,34,3067,971,906
559,42,31,38,3691,1584,1514
560,56,12,30,3151,1064,947
561,39,36,35,3117,895,922
562,52,30,31,3096,868,894
563,31,32,32,3700,1537,1486
564,34,35,35,3208,1030,935
565,50,32,31,3156,893,848
566,31,32,31,3120,890,833
567,13,40,35,3761,1540,1506
568,10,31,32,3199,968,924
569,32,30,31,3127,922,835
570,49,33,34,3132,954,870
571,31,32,38,3838,1596,1571
572,38,31,31,3294,1107,1078
573,35,34,34,3213,895,971
574,56,31,32,3173,936,947
575,30,31,33,3774,1483,1458
576,41,33,34,3244,1012,887
577,35,31,31,3161,976,926
578,31,34,17,3256,981,923
579,34,35,35,3856,1501,1597
580,35,31,32,3329,942,1174
581,30,31,31,3265,957,951
582,48,35,34,3252,1006,843
583,46,30,31,3902,1604,1518
584,37,30,31,3341,1022,1066
585,34,37,18,3266,976,946
586,49,32,32,3231,966,925
587,41,32,33,3868,1659,1529
588,41,36,36,3332,1205,1030
589,26,32,32,3331,1042,889
590,35,36,35,3335,1106,901
591,35,31,31,3993,1654,1503
592,32,33,15,3424,1125,934
593,40,37,34,3452,972,921
594,36,35,31,3397,1013,894
595,32,32,32,3979,1594,1533
596,20,35,36,3431,1080,973
597,43,32,32,3360,989,908
598,34,31,32,3378,975,889
599,43,36,17,4010,1511,1577
600,51,31,31,3476,971,1047
601,30,32,31,3441,963,886
602,40,35,35,3462,940,870
603,12,32,32,4058,1505,1537
604,37,32,33,3519,937,1037
605,39,36,36,3468,893,988
606,37,32,37,3484,799,983
607,31,32,30,4045,1513,1532
608,35,35,36,3550,1066,959
609,35,31,33,3421,866,942
610,33,31,32,3497,868,918
611,36,35,35,4044,1497,1590
612,43,31,31,3475,918,1160
613,43,31,32,3423,899,953
614,46,35,35,3422,908,840
615,41,46,33,4065,1542,1504
616,55,33,33,3547,1034,1021
617,40,34,35,3487,906,979
618,32,32,33,3457,868,962
619,39,32,32,4053,1470,1585
620,40,34,36,3506,979,1100
621,31,31,29,3467,972,903
622,36,15,30,3447,962,927
623,35,35,34,4082,1527,1532
624,33,30,31,3579,1094,1004
625,36,32,31,3505,847,926
626,44,36,34,3514,867,980
627,30,33,32,4061,1564,1506
628,35,32,30,3583,1123,944
629,34,18,33,3531,969,982
630,52,31,31,3610,947,982
631,42,34,35,4208,1506,1576
632,36,32,33,3669,981,1121
633,31,32,31,3673,919,969
634,47,36,34,3600,929,959
635,42,32,29,4160,1530,1587
636,36,15,30,3621,1042,1122
637,19,35,35,3547,913,935
638,31,31,32,3569,820,962
639,35,33,31,4194,1500,1522
640,35,35,35,3768,982,966
641,35,32,32,3559,874,894
642,32,32,30,3634,902,895
643,38,17,35,4263,1515,1523
644,15,31,31,3742,965,1054
645,33,31,32,3654,878,919
646,48,35,35,3685,893,860
647,30,32,31,4210,1515,1457
648,37,32,32,3708,1011,923
649,14,35,34,3681,891,861
650,32,12,31,3653,864,887
651,12,31,32,4328,1526,1569
652,35,34,34,3895,1035,1068
653,30,30,31,3694,929,911
654,36,32,46,3720,989,897
655,35,36,35,4321,1555,1528
656,32,31,31,3871,987,1005
657,31,31,32,3785,926,942
658,56,36,34,3783,931,912
659,31,30,31,4332,1568,1484
660,29,31,31,3770,1149,897
661,37,35,18,3716,948,936
662,31,32,32,3728,921,933
663,31,31,31,4348,1604,1580
664,35,36,35,3766,1118,1165
665,31,34,32,3756,952,899
666,39,31,32,3735,924,854
667,34,33,36,4420,1536,1576
668,30,32,15,3864,1081,1021
669,35,34,35,3812,902,978
670,34,31,32,3735,844,954
671,31,32,32,4390,1502,1519
672,40,37,35,3877,1051,962
673,31,30,32,3736,929,863
674,29,30,31,3695,912,853
675,32,35,18,4409,1442,1539
676,31,31,30,3832,923,944
677,31,32,33,3763,776,898
678,34,35,35,3796,835,896
679,31,31,31,4396,1498,1519
680,35,32,32,3905,928,1079
681,38,35,35,3823,858,953
682,29,31,11,3798,839,931
683,31,31,30,4464,1490,1546
684,34,35,35,3969,1044,955
685,32,32,32,3840,896,772
686,31,31,32,3791,888,854
687,43,39,37,4458,1541,1597
688,39,31,32,3870,956,1144
689,30,32,17,3854,839,938
690,35,35,34,3843,831,926
691,31,34,32,4418,1486,1450
692,30,32,31,3995,921,885
693,37,35,35,3767,920,917
694,32,33,32,3791,898,904
695,31,32,32,4355,1535,1526
696,35,36,40,3789,1001,1053
697,30,31,30,3725,944,931
698,31,32,32,3724,910,848
699,39,35,35,4186,1509,1553
700,32,31,32,3662,948,954
701,30,31,31,3610,951,905
702,40,34,36,3585,908,909
703,31,31,33,4176,1522,1499
704,31,32,31,3723,993,985
705,35,50,37,3534,971,911
706,29,31,33,3584,916,931
707,32,30,31,4191,1522,1494
708,45,35,37,3661,958,938
709,37,32,32,3570,872,940
710,35,36,36,3596,875,940
711,37,32,30,4122,1565,1507
712,36,15,29,3606,990,1038
713,19,35,35,3505,961,942
714,32,31,32,3511,923,936
715,52,32,32,4115,1446,1569
716,33,37,36,3584,885,1014
717,31,32,32,3624,902,807
718,40,33,29,3580,968,806
719,31,19,33,4177,1531,1521
720,14,31,31,3678,948,948
721,31,30,32,3585,851,885
722,31,35,35,3639,844,863
723,28,32,31,4247,1483,1514
724,29,31,31,3800,904,1015
725,30,37,33,3585,969,945
726,29,11,29,3539,970,934
727,35,31,31,4167,1538,1508
